datetime,122_WIND_1,309_WIND_1,317_WIND_1,303_WIND_1
2007-01-01 00:00:00,7.390000000000001,8.47,4.8100000000000005,19.06
2007-01-01 01:00:00,7.0,7.49,3.38,20.1
2007-01-01 02:00:00,7.890000000000001,8.94,1.22,20.36
2007-01-01 03:00:00,8.45,8.2,1.56,19.98
2007-01-01 04:00:00,9.25,6.84,1.38,19.91
2007-01-01 05:00:00,9.58,6.26,4.01,16.53
2007-01-01 06:00:00,9.77,3.61,4.3100000000000005,15.05
2007-01-01 07:00:00,9.23,3.3200000000000003,3.47,12.05
2007-01-01 08:00:00,9.22,3.13,2.4,7.26
2007-01-01 09:00:00,8.71,4.2,2.58,5.32
2007-01-01 10:00:00,4.47,1.49,4.64,2.44
2007-01-01 11:00:00,3.82,1.54,4.7700000000000005,2.46
2007-01-01 12:00:00,3.92,1.5,4.5200000000000005,3.33
2007-01-01 13:00:00,5.26,1.89,5.25,1.71
2007-01-01 14:00:00,6.49,1.22,5.3100000000000005,1.48
2007-01-01 15:00:00,7.34,1.39,6.98,0.77
2007-01-01 16:00:00,9.68,1.82,6.45,1.7
2007-01-01 17:00:00,10.75,0.85,14.83,3.99
2007-01-01 18:00:00,10.38,1.31,11.77,1.05
2007-01-01 19:00:00,10.52,3.83,9.09,1.28
2007-01-01 20:00:00,9.9,6.5,8.32,1.65
2007-01-01 21:00:00,9.45,8.76,11.48,0.63
2007-01-01 22:00:00,12.14,10.48,10.19,2.96
2007-01-01 23:00:00,11.17,9.32,9.93,7.97
2007-01-02 00:00:00,10.21,10.29,10.61,2.37
2007-01-02 01:00:00,9.97,9.98,11.67,3.53
2007-01-02 02:00:00,12.77,9.88,14.93,0.56
2007-01-02 03:00:00,11.61,10.78,15.52,3.86
2007-01-02 04:00:00,13.28,11.2,17.0,2.2
2007-01-02 05:00:00,13.93,12.56,18.51,6.41
2007-01-02 06:00:00,17.150000000000002,14.29,18.56,1.61
2007-01-02 07:00:00,18.24,12.58,17.81,1.67
2007-01-02 08:00:00,17.98,14.64,14.45,0.68
2007-01-02 09:00:00,16.87,11.25,13.06,0.41
2007-01-02 10:00:00,19.56,10.64,17.95,1.05
2007-01-02 11:00:00,21.73,7.67,20.43,2.49
2007-01-02 12:00:00,20.37,6.0200000000000005,20.59,2.62
2007-01-02 13:00:00,20.58,9.37,6.92,2.31
2007-01-02 14:00:00,21.38,9.03,3.41,4.19
2007-01-02 15:00:00,22.16,7.12,3.94,2.62
2007-01-02 16:00:00,19.76,6.9,3.66,2.2
2007-01-02 17:00:00,17.04,3.46,4.2,1.16
2007-01-02 18:00:00,14.02,5.19,6.69,0.9
2007-01-02 19:00:00,12.04,5.05,7.94,1.24
2007-01-02 20:00:00,11.18,5.16,8.49,0.49
2007-01-02 21:00:00,9.92,5.6000000000000005,10.27,1.33
2007-01-02 22:00:00,7.88,5.49,8.13,0.75
2007-01-02 23:00:00,6.68,5.15,6.19,1.13
2007-01-03 00:00:00,7.84,3.7,8.43,0.8200000000000001
2007-01-03 01:00:00,8.35,4.32,7.69,0.62
2007-01-03 02:00:00,10.19,3.23,0.58,0.8200000000000001
2007-01-03 03:00:00,11.61,1.79,4.12,0.33
2007-01-03 04:00:00,11.63,0.5700000000000001,5.0200000000000005,0.24
2007-01-03 05:00:00,9.12,1.33,3.43,0.32
2007-01-03 06:00:00,4.92,0.92,1.19,0.33
2007-01-03 07:00:00,4.57,0.49,0.89,0.32
2007-01-03 08:00:00,6.5,0.38,1.04,0.38
2007-01-03 09:00:00,5.69,0.29,0.29,0.39
2007-01-03 10:00:00,4.84,0.19,0.49,0.54
2007-01-03 11:00:00,4.87,0.23,1.16,0.84
2007-01-03 12:00:00,3.15,0.1,1.27,1.27
2007-01-03 13:00:00,1.01,0.5700000000000001,0.61,1.07
2007-01-03 14:00:00,1.6,0.14,0.33,0.61
2007-01-03 15:00:00,4.68,0.23,0.81,0.73
2007-01-03 16:00:00,5.8500000000000005,0.28,0.76,1.33
2007-01-03 17:00:00,5.75,0.89,0.7000000000000001,1.01
2007-01-03 18:00:00,6.7700000000000005,0.9,0.89,1.48
2007-01-03 19:00:00,8.02,0.74,1.41,1.42
2007-01-03 20:00:00,9.22,0.89,2.43,1.59
2007-01-03 21:00:00,9.29,0.78,3.53,2.29
2007-01-03 22:00:00,9.77,7.99,3.97,9.5
2007-01-03 23:00:00,9.67,10.62,4.13,16.79
2007-01-04 00:00:00,9.34,11.4,3.94,18.17
2007-01-04 01:00:00,9.67,9.45,3.92,18.83
2007-01-04 02:00:00,10.03,6.76,3.6,19.2
2007-01-04 03:00:00,9.64,6.8500000000000005,4.14,20.15
2007-01-04 04:00:00,9.47,7.63,5.53,20.69
2007-01-04 05:00:00,9.17,11.12,5.64,20.38
2007-01-04 06:00:00,9.38,12.03,4.5,19.9
2007-01-04 07:00:00,10.54,11.44,3.59,19.48
2007-01-04 08:00:00,10.77,9.92,2.52,19.5
2007-01-04 09:00:00,8.950000000000001,7.24,2.63,19.08
2007-01-04 10:00:00,8.17,6.33,2.08,18.33
2007-01-04 11:00:00,10.47,6.44,2.29,17.650000000000002
